远绝,9.2,97,0.00,12322
脑王争霸赛,0,0,1.99,1615
宇宙生存指南,8.0,26,0.99,2011
装人鱼的透明袋子,7.8,20,1.99,5134
西域古事记,0,0,0.00,541
武汉巫婆,7.6,244,1.99,28184
调色盘,0,0,0.00,299
狭窄的天空,7.6,34,1.99,1.99,4450
西游前传,7.6,116,4.99,89569
俱乐部故事,8.6,81,0.00,13978
世界边境，消失之河,0,0,0.00,551
天池水怪之谜,7.0,16,1.99,4572
流萤·卜问,9.2,166,1.99,1.99,25282
神游曲（修订版）,0,0,0.00,5227
白影夜行,9.2,110,0.00,36018
银河铁道之夜,8.6,247,1.99,20676
日本神话全录（修订版）,7.8,149,0.99,18359
九秋午后,8.6,165,0.99,17815
反西游记,8.0,398,6.99,83105
归墟,8.6,580,0,20648
游女抄,8.6,15,0.00,1938
魔法器材店,8.8,206,0,19266
杀死天使的第三种方法,7.0,128,1.99,4760
紫霞仙子,9.2,31,0.00,6522
七次回眸,8.8,59,1.99,8183
江湖,7.6,154,1.99,10295
蛆虫之王,8.2,51,1.99,3061
血树,0,0,0.00,456
不小心在餐厅吞下了一朵云之后,7.6,15,2.99,2867
神怪故事集,6.8,1068,0,27685
魂兮归来,8.8,84,1.99,9517
不过神仙和没事妖怪,8.8,372,0,424983
遗嘱执行人,8.2,140,1.99,7375
无妆,7.4,31,0.00,5077
嫁金蚕,8.6,218,1.99,25585
翠狐,8.6,1624,1.99,112716
雨月物语（全译本）,8.6,43,2.99,9613
天海,7.6,37,1.99,4815
失常,8.2,69,1.99,7779
百万年僵尸,8.8,121,3.99,8766
街泳,7.0,98,1.99,4078
碳,7.4,97,1.99,20309
撒尔安达残卷,8.6,32,1.99,2827
影子游戏,7.8,69,1.99,1557
中亚故事集,9.0,40,3.99,6572
火雷原上，羽烈昭武,6.2,21,1.99,2093
鸟人,8.6,18,1.99,1536
放逐之眼,0,0,1.99,445
流萤·求药,9.6,45,0.99,0.99,3992
暗夜行,7.6,29,1.99,1513
后山怪物,8.0,71,1.99,11521
小故事,8.2,86,1.99,4295
奇肱国,7.8,85,1.99,7727
都市人形兽·绘传-四个连作短篇,6.8,27,1.99,2953
概率便笺,7.2,109,1.99,2858
何以为言,0,0,0,2354
七娃,7.4,179,0,8165
沉睡的米蕾,7.0,15,0.99,0.99,1377
无聊实验,7.0,49,0.00,5198
末日动物园,7.8,166,1.99,10067
没有节操集,9.2,52,2.99,6600
约拿与僵尸,8.2,111,1.99,13392
斗而廊,0,0,1.99,516
猫,0,0,0.00,1156
悭勃尔鬼魂与旧世界奇观,8.0,25,1.99,1199
男朋友典当行,7.0,107,1.99,10184
野天鹅,9.6,57,0,556628
幸运之神的日常,7.4,42,1.99,3492
返祖俱乐部,7.2,115,1.99,2346
植物人,8.6,24,1.99,2580
无端儿,7.6,434,0,8662
猎河童记,8.0,272,1.99,15402
平凡生活中的奇异事件,6.6,46,0,17725
捉梦,8.0,73,1.99,3854
丹青怪谈,0,0,0.00,418
疾女册,9.0,984,0,44808
仿佛若有光,8.2,21,0.00,2022
七桥会,8.8,31,1.99,4221
东柯僧院的春天,8.0,217,0,3906
我和我的独角兽,7.0,13,1.99,850
8.6,22,434727053075253710058311013
砂国（上）,0,0,2.99,523
英国童话,0,0,6.00,1684
金城生事代办科,6.8,78,0.00,1520
欢乐故事集（第一卷）,7.0,13,1.99,2292
但愿人长久,8.4,35,1.99,1999
纵火者,6.8,98,1.99,8396
一群斑马跑过了杏花桥,7.2,44,0.00,1071
游日本记,7.4,33,1.99,3000
遛噢噢,7.6,55,0.99,1935
不存在的女儿,8.2,43,0.99,1839
恐怖奇谈集,7.0,21,0.99,0.99,4925
繁花集,9.0,22,0,2205
成都魍事,8.0,72,1.99,5912
九州·阮郎归,7.4,26,0.99,1656
冰,0,0,0,100
食忆妖,8.2,18,1.99,1287
猫饭奇妙物语,9.2,252,0,633080
另一个世界,7.6,22,0.00,5954
去往永生之河的旅人们,9.4,44,1.99,2916
九州·逑繇,7.2,34,1.99,1459
魔言师卡尔乔和伊德鲁三杰,8.4,36,1.99,1341
O——消失的拥有者,7.8,39,0.00,1414
词穷游戏美术部,7.8,82,1.99,4599
一中攻防战,8.4,41,5.99,5245
何生眉间案,0,0,0,6873
春雨物语（全译本）,7.6,11,2.99,2419
西斯空计划,7.6,88,1.99,6648
扭腰扭腰,0,0,1.99,136
怪谈,7.2,55,0.99,4369
超能力商店,9.2,83,0,38986
菲利妹妹,0,0,1.99,687
登月记,7.6,12,1.99,1153
被神祝福的夜晚,7.6,11,1.98,1.98,500
七七•四十九,8.4,198,1.99,8228
我们的冒险,0,0,0.99,589
兵狼挽歌,9.2,33,1.99,1828
北风不胡南风胡,8.2,74,1.99,3654
猫,0,0,0.00,832
鹤鸣九皋,7.0,16,1.99,2236
西瓜人,7.8,165,1.99,4610
灵戒故事·一,0,0,0.00,1012
恶作剧尸体,0,0,1.99,1205
地狱无门,0,0,0.09,0.09,695
记梦学会,0,0,0.00,767
猫饭奇妙物语 2,9.2,191,0,146410
麦望,7.0,21,0.98,0.98,1482
蝴蝶梦,0,0,1.99,792
车缝线之神,6.6,116,1.99,3398
夸父王,7.8,158,1.99,14047
烟花救赎下的影子信仰,8.0,15,2.99,1202
九州·木叶记,0,0,2.99,731
危险的人,7.0,20,0.99,0.99,3266
代村的云,8.8,68,1.99,3010
一只陌生老鼠的来信,8.0,309,1.99,20504
雪国,7.2,15,4.99,2327
梦行者之书,0,0,0,51
双髻,7.8,175,0,4324
猫咪咪小姐,0,0,1.99,776
欢乐故事集（第二卷）,0,0,1.99,632
秉烛记,7.4,39,0.99,2381
重人之神秘村落,0,0,3.99,3054
月落半山行,8.4,36,0.00,15008
骑桶人,0,0,1.99,486
往生诀,8.2,13,0,206786
量矩,0,0,0,1250
农村养龙指南,7.6,217,1.99,14036
虚构往事,7.0,307,0,12750
琵琶行,9.4,84,0,18212
妖精山,8.4,67,1.99,3208
八月风灯,8.4,65,4.04,7853
糖果城堡,0,0,1.99,835
诱杀,8.6,27,1.99,1243
透明人,7.0,16,1.99,751
黑色残响SchwarzeEcho,0,0,4.99,2765
战尸鬼,7.8,95,1.99,12904
我就喜欢做奶酪,9.4,86,1.99,9537
捕鳇少年,7.0,26,1.98,1.98,1558
蛊娘梅艳,0,0,1.99,1015
金与铁,0,0,3.99,105
神游曲上部：神魔乱世,0,0,4.99,3323
梦记,8.6,39,0.00,2054
常荑故事,0,0,1.99,584
漂浮在空中的兰若,6.6,12,1.99,1265
头蚊子帝,7.8,23,2.99,2698
城里来了新乌鸦,0,0,1.99,433
我来自一千年前,0,0,2.99,579
面人,8.0,13,0,6119
后街侠客行,6.6,84,0.49,0.49,1881
八月槎,0,0,1.99,248
过去只有黑伞,8.8,34,0,2665
猫的失踪,0,0,0.99,1202
恐龙的下落,0,0,1.99,57
九州·紫竹风铃,7.6,16,0.99,709
爱丽丝漫游西游记,7.6,29,1.99,2870
不解释故事集,7.2,53,1.99,3683
我需要睡前小故事,8.2,38,1.99,6179
难以抗拒,7.4,15,1.99,1742
向北向北向北,8.4,26,1.99,1867
隔离寝室与放肆少女,7.2,51,1.99,11843
蔷薇猫,7.2,11,2.99,1233
抄袭作品选,5.8,75,0,5382
几何世界,7.0,14,1.99,994
听微录,8.8,57,1.99,4153
会仙记,7.8,13,4.99,1652
快乐王子（特别版）,0,0,1.99,854
鱼,0,0,1.99,276
君猫的四个夏天,9.4,46,2.99,4050
千年之约,4.4,43,1.99,799
动物月历,7.4,26,0.99,1659
弗兰克的森林,0,0,1.99,590
火箭发射架上的女孩,0,0,1.99,212
长翅膀的猫,7.8,17,0,1758
陇西行,7.8,24,1.99,2509
法国古童话,7.2,21,2.99,4668
城隍事变,0,0,1.99,102
神灵茶馆之宅神,0,0,0.00,281
太空站生存游戏,0,0,1.99,211
脱狱男孩,0,0,0.99,425
海潮三十年·双瞳,0,0,1.99,817
异色之朝,8.6,28,1.99,3539
阳光把我的荒凉照耀得更加荒凉,0,0,1.99,174
此梦不醒之前尘,7.2,24,0,3794
哎呀婆婆儿童故事集,0,0,1.99,2652
自由,0,0,1.99,720
观星者之轮,0,0,3.99,504
窥,6.6,18,0.99,1190
汾阳世家,0,0,1.99,496
另世界,0,0,1.99,469
异常生物报告,0,0,0.99,421
东京沉没,7.2,29,1.99,1680
开膛手与小红帽,0,0,1.99,920
我们这一生,9.2,132,4.99,31219
城市的黄昏,0,0,1.99,20
喂！布将,0,0,1.99,220
六界狂歌行,0,0,0,8271
影子传说,6.2,60,1.99,1192
迷狐船记,7.8,26,1.99,1979
梁甫吟,6.6,45,0.00,5807
风来变化,0,0,0.99,191
狩夜者·契约,7.4,11,1.99,200
画仙,7.2,36,1.99,2641
火种之森,0,0,0.00,248
时之酒肆,5.4,50,1.99,880
白卯传,7.6,21,1.99,914
五食记,7.8,151,0.99,17459
摄魂魔瞳,0,0,4.99,4438
春之牙,8.0,290,0,8773
凤椅,6.8,40,0.99,2060
大荒B,7.6,28,0.99,714
蛇的生存环境,0,0,1.99,238
艾迪亚——黑凤,6.8,332,4.99,6615
九州·八月槎,8.6,15,0.99,1045
一个人的奇谭,0,0,0.09,0.09,141
鱼丽·三生万物,9.2,38,1.99,5294
没有性意识的男孩,7.2,18,1.99,1313
神游曲中部：大闹天宫,0,0,4.99,1415
角,9.0,29,3.99,7823
归墟,8.6,89,0,245390
独角仙,0,0,2.99,375
逍遥游,0,0,1.99,264
继续砍树,7.0,54,0,1450
定居禁令,0,0,1.99,973
有虫子的房间,0,0,1.99,1591
米诺陶迷宫,6.8,13,1.99,486
瑞塔和鲁比的故事,0,0,1.99,346
日本妖怪奇谈,0,0,0,754
翳鸟,0,0,1.99,490
山海城,0,0,3.99,1464
落雪传,0,0,3.99,388
太阳神鸟飞走了,7.8,59,1.99,1589
有个故事，让我不好好说给你听,8.2,131,1.99,9749
大鹏，大鹏,7.2,15,0,600
拾荒者与城市,5.8,89,1.99,1341
濠上忆旧,9.0,28,5.00,4409
月球计划,8.2,27,1.99,1011
在空中,8.8,84,1.99,10031
新桃花源记,0,0,0.99,621
怪力乱神,0,0,0.99,1430
若华其光,0,0,1.99,416
秘密咖啡馆,9.0,37,0,28750
香江都市异闻录,7.8,66,1.99,2367
执迷,7.4,16,3.99,4987
喻之册·盗取眼珠的女人,0,0,1.99,357
另一次虚构,5.6,109,1.99,1308
莫林,0,0,0.99,113
契鬼,7.8,24,1.99,744
出关寻师记,8.6,21,1.99,4360
胡子姑娘,7.2,24,1.99,1315
黄昏之子,0,0,2.99,357
新西游记,0,0,1.99,139
大侃国,0,0,3.99,304
花之寺僧,7.8,367,0,5312
灵蝶,7.2,15,1.99,1403
玉女奇缘,7.0,17,4.99,2557
每天一个短故事，存萌银行,7.6,33,1.99,3961
浦岛太郎,0,0,1.99,688
城市的牧马人,7.0,39,1.99,642
绿叶小镇,7.0,18,0.99,612
故事集Ⅱ,0,0,1.99,391
双生,8.4,32,1.99,3134
从影花之春到靡雨之夏,0,0,1.99,411
河都,6.4,35,1.99,1105
开往世界尽头的列车,7.0,188,0,16400
月亮之上,0,0,1.99,168
非人类回忆录,8.2,24,1.99,828
纯属娱乐,5.8,33,1.99,556
英雄联盟的诞生·一年传奇（下）,0,0,0,652
镜中人,0,0,1.99,616
寒铁记,0,0,1.99,184
斗破苍穹番外篇,0,0,0,11571
伤河,0,0,1.99,335
少年控制论,0,0,1.99,909
众星动神·沧海余生,0,0,1.99,177
真境,0,0,3.99,1978
群鼠闹天宫,7.0,13,1.99,1379
第八扇门,0,0,0.99,86
火车开过午夜的五道口,0,0,1.99,672
涂船长和他的水手们,0,0,0,476
未生季,9.6,51,0,97437
卡拉是只猫,6.8,14,1.99,874
黑夜天堂：广州童话,0,0,1.99,450
无名岛,0,0,3.99,265
洪十七,7.6,44,1.99,1224
索米星的肉酱面危机,8.0,104,1.99,4146
旧日时光,7.0,11,0.99,913
到草原去,0,0,1.99,896
暗夜,0,0,1.99,329
后羿之子,0,0,1.99,34
城中幻记,7.4,95,1.99,3815
狐狸的婚礼,8.6,34,1.99,1968
痒2,7.2,45,0,3362
雨林旧事（第一辑）,0,0,2.99,1012
伽马战争,6.6,11,1.99,1572
人类园,0,0,0.99,645
灵魂住区,6.4,50,1.99,577
龙族,0,0,1.99,318
穿越吧！风中的少年,0,0,0,16
回忆当铺,0,0,1.99,401
遗梦集,0,0,1.99,292
所有的胖子都该原地爆炸,0,0,2.99,1970
梦,0,0,1.99,423
罗德巴特,0,0,1.99,228
花煞,0,0,0,6170
羊过的烦恼,0,0,1.99,834
A大学生自杀日记,0,0,0,42
三个世界,0,0,1.99,637
中国睡前故事研究,0,0,0,3
挂在椅子上的人,0,0,0.99,401
性性之战,0,0,1.99,79
大荒A,8.0,27,0.99,1341
美术室魍事,6.8,19,1.98,1.98,1105
家书,7.6,15,0.99,736
写一百个故事就可以不孤独地长大,9.4,64,0,1221943
杀手与日记,8.4,24,1.99,3628
丹朱宋台,7.2,28,0,2196
昆吾之雪,7.8,25,1.99,691
圆周酒馆！！,8.4,23,1.99,2037
犬假,0,0,1.99,240
钓鱼,0,0,1.99,106
痒,6.4,176,0,7971
猫神传说,0,0,1.99,949
奇妙故事会,0,0,1.99,852
变驴记,7.8,11,0.99,674
炉石旅馆杀人事件,0,0,0,624
迷你人,8.0,23,1.99,348
超自然事务所,7.2,13,1.99,355
夜幕之下,7.0,12,1.99,675
孙葫芦王瓢,7.4,11,0,959
神墟,0,0,2.99,851
狩猎,7.0,18,1.99,2468
走出忘庄,7.2,15,1.99,638
镜中世界,8.0,16,1.99,1109
修道,0,0,0.99,594
岛,7.6,20,0.99,886
荆棘旅馆,0,0,1.99,225
平西王的宝藏,5.6,42,1.99,712
戈里与山林,8.0,17,1.99,1140
鼠国,0,0,1.99,80
第13次生日,0,0,2.99,567
妖怪镇传说,0,0,1.99,162
你也总是在场,6.2,24,0.00,2418
奇幻作家的逃亡,7.8,71,1.99,1587
深夜玩具店,5.0,41,1.99,691
虚构之爱四篇,0,0,1.99,203
漫慢人生,0,0,3.99,1563
米松船长,0,0,0,826
赞法斯战纪,0,0,2.99,815
王新禧短篇故事精选集,0,0,1.99,367
雁羽,5.2,40,1.99,721
亚布晴沙（二）,0,0,1.99,276
孩子们的酒神节,0,0,15.00,447
凡尘夜语 · 泣血歌,7.0,132,0,2073
双女赶尸,0,0,1.99,921
闪闪的长尾,6.4,84,0.00,1545
九州·阿诺,7.8,36,0,1905
Animals,0,0,1.99,52
世人之神,7.8,11,0.99,1593
魔法存储店,7.6,311,0,7410
炼金人纪事,0,0,1.99,145
白鸟,0,0,1.99,311
神舞者之夜,7.0,86,1.99,2189
眼魔,8.4,30,1.99,1227
蝴蝶,0,0,1.99,369
精灵迦南,0,0,1.99,201
椋鸟,7.6,44,1.99,1112
睡前故事集,7.2,159,0,17336
青龙偃月刀,5.2,63,1.99,1181
通往阴间的公路,0,0,1.99,291
朵栾之扉,0,0,1.99,154
菟丝小姐的甜品屋,0,0,2.99,664
欢乐故事集（第三卷）,0,0,1.99,442
命丧人类,0,0,1.99,317
别怕找回你的心愿！,0,0,1.99,73
猫的直立行走,0,0,1.99,524
孤岛,0,0,0.99,302
司夜局,7.2,13,2.99,1967
赌神之约,7.6,17,1.99,899
青蛙尼古拉三世,0,0,1.99,337
山城假期手账,5.4,36,1.99,606
你为什么这么丑？,7.0,18,1.99,3543
软甜萌贱童话集,9.6,44,0,114152
野狗盛宴,0,0,1.99,179
杀白鹿,7.0,39,0.99,1202
仙人与妖精的战争,0,0,1.99,1124
树叶王国,0,0,1.99,331
捡豆子的人,0,0,0.99,1243
归樵迷影,0,0,2.99,55
海兽,8.2,17,1.99,1204
与狼共舞,0,0,1.99,157
可以吃的部分,0,0,0.99,470
春雨空来,0,0,1.99,522
黑暗图书馆,7.8,237,0,12516
地下葡萄洲,0,0,4.99,446
亭中飞龙,6.8,121,1.99,2770
雾,0,0,1.99,996
捕鱼人,6.6,13,1.99,1140
油流鬼哭灯,8.2,76,1.99,5347
山石,0,0,0.99,63
相知犹按剑,7.0,37,1.99,1403
如来说,7.6,18,1.99,1022
极乐深圳,8.6,60,1.99,6794
决堤,7.4,34,0,3769
自杀和杀人,6.8,40,0.99,2078
塔顶上的鸽小姐,8.0,13,3.99,2029
荒凉幻境,0,0,1.99,150
妈妈童话,0,0,0.99,668
崂山道士之公园笛声,6.6,52,1.99,1551
冰下,6.4,85,1.99,1429
往生,7.6,41,4.99,8624
先锋,0,0,1.99,790
忆城,6.8,49,1.99,872
子·衿,0,0,0,39
死亡准备,0,0,0,23
可爱的草寇们,6.0,23,2.99,3743
童年镇第一季,0,0,4.99,3290
公爵的归途,7.2,11,1.99,925
古都夜·小狗巴士,0,0,1.99,195
缚命结,0,0,1.99,98
池塘边，柳树下,0,0,1.99,242
波塔尼斯，望洋山,8.4,68,0,5322
黑色童话,7.8,82,1.99,2274
嘉儿与英超的奇幻假期,0,0,4.99,391
时辰,0,0,1.99,454
亚布晴沙（三）,0,0,1.99,199
胖头的编年史,7.4,13,1.99,836
三木鬼怪录,0,0,0,11
逃出生天,7.8,32,1.99,792
鬼的故事,7.8,34,1.99,864
仿生域前传,0,0,0.00,184
接盘霞,0,0,0,6
饭饭的睡前故事,0,0,0,3
神奇动物,0,0,1.99,163
甲乙丙,0,0,0,75
魂哀京,7.6,33,1.99,924
次纬度的箭,7.8,18,1.99,737
云梦无痕,0,0,1.99,225
寻找美味男子,0,0,1.99,386
末日图书馆,0,0,1.99,165
起源,0,0,1.99,130
鬼事,0,0,1.99,378
奥菲斯,8.2,48,0,2061
良龙,6.0,102,1.99,1411
海莉梅森的奇幻历程—觉醒,0,0,0,8354
我们是不是在孤独的活,0,0,0,7
彼岸,8.2,94,4.99,7761
蚊睫编,6.4,34,0.99,1406
九州·解放者,7.2,15,1.99,629
浮生七日,6.6,132,0,5224
点起春风巷的花灯,7.4,19,0,1900
不归,7.0,13,0.00,2889
九月十二岛,7.2,26,0,14968
日常之物成精以后,9.2,86,0,119308
最后的弗吞罕（下）,0,0,1.99,27
